Timestep,Source1,Source2,Reservoir1,Reservoir2,Demand1,Demand2,Demand3,DummySupply,DummyDemand
1,100,100,0,0,0,0,0,0,0
2,100,100,0,0,0,0,0,0,0
3,100,100,0,0,0,0,0,0,0
4,100,100,0,0,0,0,0,0,0
5,100,100,0,0,0,0,0,0,0
6,100,100,0,0,0,0,0,0,0
7,100,100,0,0,0,0,0,0,0
8,100,100,0,0,0,0,0,0,0
9,100,100,0,0,0,0,0,0,0
10,100,100,0,0,0,0,0,0,0
11,100,100,0,0,0,0,0,0,0
12,100,100,0,0,0,0,0,0,0
13,100,100,0,0,0,0,0,0,0
14,100,100,0,0,0,0,0,0,0
15,100,100,0,0,0,0,0,0,0
16,100,100,0,0,0,0,0,0,0
17,100,100,0,0,0,0,0,0,0
18,100,100,0,0,0,0,0,0,0
19,100,100,0,0,0,0,0,0,0
20,100,100,0,0,0,0,0,0,0
21,100,100,0,0,0,0,0,0,0
22,100,100,0,0,0,0,0,0,0
23,100,100,0,0,0,0,0,0,0
24,100,100,0,0,0,0,0,0,0
25,100,100,0,0,0,0,0,0,0
26,100,100,0,0,0,0,0,0,0
27,100,100,0,0,0,0,0,0,0
28,100,100,0,0,0,0,0,0,0
29,100,100,0,0,0,0,0,0,0
30,100,100,0,0,0,0,0,0,0
31,100,100,0,0,0,0,0,0,0
32,100,100,0,0,0,0,0,0,0
33,100,100,0,0,0,0,0,0,0
34,100,100,0,0,0,0,0,0,0
35,100,100,0,0,0,0,0,0,0
36,100,100,0,0,0,0,0,0,0
37,100,100,0,0,0,0,0,0,0
38,100,100,0,0,0,0,0,0,0
39,100,100,0,0,0,0,0,0,0
40,100,100,0,0,0,0,0,0,0
41,100,100,0,0,0,0,0,0,0
42,100,100,0,0,0,0,0,0,0
43,100,100,0,0,0,0,0,0,0
44,100,100,0,0,0,0,0,0,0
45,100,100,0,0,0,0,0,0,0
46,100,100,0,0,0,0,0,0,0
47,100,100,0,0,0,0,0,0,0
48,100,100,0,0,0,0,0,0,0
49,100,100,0,0,0,0,0,0,0
50,100,100,0,0,0,0,0,0,0
51,100,100,0,0,0,0,0,0,0
52,100,100,0,0,0,0,0,0,0
53,100,100,0,0,0,0,0,0,0
54,100,100,0,0,0,0,0,0,0
55,100,100,0,0,0,0,0,0,0
56,100,100,0,0,0,0,0,0,0
57,100,100,0,0,0,0,0,0,0
58,100,100,0,0,0,0,0,0,0
59,100,100,0,0,0,0,0,0,0
60,100,100,0,0,0,0,0,0,0
61,100,100,0,0,0,0,0,0,0
62,100,100,0,0,0,0,0,0,0
63,100,100,0,0,0,0,0,0,0
64,100,100,0,0,0,0,0,0,0
65,100,100,0,0,0,0,0,0,0
66,100,100,0,0,0,0,0,0,0
67,100,100,0,0,0,0,0,0,0
68,100,100,0,0,0,0,0,0,0
69,100,100,0,0,0,0,0,0,0
70,100,100,0,0,0,0,0,0,0
71,100,100,0,0,0,0,0,0,0
72,100,100,0,0,0,0,0,0,0
73,100,100,0,0,0,0,0,0,0
74,100,100,0,0,0,0,0,0,0
75,100,100,0,0,0,0,0,0,0
76,100,100,0,0,0,0,0,0,0
77,100,100,0,0,0,0,0,0,0
78,100,100,0,0,0,0,0,0,0
79,100,100,0,0,0,0,0,0,0
80,100,100,0,0,0,0,0,0,0
81,100,100,0,0,0,0,0,0,0
82,100,100,0,0,0,0,0,0,0
83,100,100,0,0,0,0,0,0,0
84,100,100,0,0,0,0,0,0,0
85,100,100,0,0,0,0,0,0,0
86,100,100,0,0,0,0,0,0,0
87,100,100,0,0,0,0,0,0,0
88,100,100,0,0,0,0,0,0,0
89,100,100,0,0,0,0,0,0,0
90,100,100,0,0,0,0,0,0,0
91,100,100,0,0,0,0,0,0,0
92,100,100,0,0,0,0,0,0,0
93,100,100,0,0,0,0,0,0,0
94,100,100,0,0,0,0,0,0,0
95,100,100,0,0,0,0,0,0,0
96,100,100,0,0,0,0,0,0,0
97,100,100,0,0,0,0,0,0,0
98,100,100,0,0,0,0,0,0,0
99,100,100,0,0,0,0,0,0,0
100,100,100,0,0,0,0,0,0,0
101,100,100,0,0,0,0,0,0,0
102,100,100,0,0,0,0,0,0,0
103,100,100,0,0,0,0,0,0,0
104,100,100,0,0,0,0,0,0,0
105,100,100,0,0,0,0,0,0,0
106,100,100,0,0,0,0,0,0,0
107,100,100,0,0,0,0,0,0,0
108,100,100,0,0,0,0,0,0,0
109,100,100,0,0,0,0,0,0,0
110,100,100,0,0,0,0,0,0,0
111,100,100,0,0,0,0,0,0,0
112,100,100,0,0,0,0,0,0,0
113,100,100,0,0,0,0,0,0,0
114,100,100,0,0,0,0,0,0,0
115,100,100,0,0,0,0,0,0,0
116,100,100,0,0,0,0,0,0,0
117,100,100,0,0,0,0,0,0,0
118,100,100,0,0,0,0,0,0,0
119,100,100,0,0,0,0,0,0,0
120,100,100,0,0,0,0,0,0,0
121,100,100,0,0,0,0,0,0,0
122,100,100,0,0,0,0,0,0,0
123,100,100,0,0,0,0,0,0,0
124,100,100,0,0,0,0,0,0,0
125,100,100,0,0,0,0,0,0,0
126,100,100,0,0,0,0,0,0,0
127,100,100,0,0,0,0,0,0,0
128,100,100,0,0,0,0,0,0,0
129,100,100,0,0,0,0,0,0,0
130,100,100,0,0,0,0,0,0,0
131,100,100,0,0,0,0,0,0,0
132,100,100,0,0,0,0,0,0,0
133,100,100,0,0,0,0,0,0,0
134,100,100,0,0,0,0,0,0,0
135,100,100,0,0,0,0,0,0,0
136,100,100,0,0,0,0,0,0,0
137,100,100,0,0,0,0,0,0,0
138,100,100,0,0,0,0,0,0,0
139,100,100,0,0,0,0,0,0,0
140,100,100,0,0,0,0,0,0,0
141,100,100,0,0,0,0,0,0,0
142,100,100,0,0,0,0,0,0,0
143,100,100,0,0,0,0,0,0,0
144,100,100,0,0,0,0,0,0,0
145,100,100,0,0,0,0,0,0,0
146,100,100,0,0,0,0,0,0,0
147,100,100,0,0,0,0,0,0,0
148,100,100,0,0,0,0,0,0,0
149,100,100,0,0,0,0,0,0,0
150,100,100,0,0,0,0,0,0,0
151,100,100,0,0,0,0,0,0,0
152,100,100,0,0,0,0,0,0,0
153,100,100,0,0,0,0,0,0,0
154,100,100,0,0,0,0,0,0,0
155,100,100,0,0,0,0,0,0,0
156,100,100,0,0,0,0,0,0,0
157,100,100,0,0,0,0,0,0,0
158,100,100,0,0,0,0,0,0,0
159,100,100,0,0,0,0,0,0,0
160,100,100,0,0,0,0,0,0,0
161,100,100,0,0,0,0,0,0,0
162,100,100,0,0,0,0,0,0,0
163,100,100,0,0,0,0,0,0,0
164,100,100,0,0,0,0,0,0,0
165,100,100,0,0,0,0,0,0,0
166,100,100,0,0,0,0,0,0,0
167,100,100,0,0,0,0,0,0,0
168,100,100,0,0,0,0,0,0,0
169,100,100,0,0,0,0,0,0,0
170,100,100,0,0,0,0,0,0,0
171,100,100,0,0,0,0,0,0,0
172,100,100,0,0,0,0,0,0,0
173,100,100,0,0,0,0,0,0,0
174,100,100,0,0,0,0,0,0,0
175,100,100,0,0,0,0,0,0,0
176,100,100,0,0,0,0,0,0,0
177,100,100,0,0,0,0,0,0,0
178,100,100,0,0,0,0,0,0,0
179,100,100,0,0,0,0,0,0,0
180,100,100,0,0,0,0,0,0,0
181,100,100,0,0,0,0,0,0,0
182,100,100,0,0,0,0,0,0,0
183,100,100,0,0,0,0,0,0,0
184,100,100,0,0,0,0,0,0,0
185,100,100,0,0,0,0,0,0,0
186,100,100,0,0,0,0,0,0,0
187,100,100,0,0,0,0,0,0,0
188,100,100,0,0,0,0,0,0,0
189,100,100,0,0,0,0,0,0,0
190,100,100,0,0,0,0,0,0,0
191,100,100,0,0,0,0,0,0,0
192,100,100,0,0,0,0,0,0,0
193,100,100,0,0,0,0,0,0,0
194,100,100,0,0,0,0,0,0,0
195,100,100,0,0,0,0,0,0,0
196,100,100,0,0,0,0,0,0,0
197,100,100,0,0,0,0,0,0,0
198,100,100,0,0,0,0,0,0,0
199,100,100,0,0,0,0,0,0,0
200,100,100,0,0,0,0,0,0,0
201,100,100,0,0,0,0,0,0,0
202,100,100,0,0,0,0,0,0,0
203,100,100,0,0,0,0,0,0,0
204,100,100,0,0,0,0,0,0,0
205,100,100,0,0,0,0,0,0,0
206,100,100,0,0,0,0,0,0,0
207,100,100,0,0,0,0,0,0,0
208,100,100,0,0,0,0,0,0,0
209,100,100,0,0,0,0,0,0,0
210,100,100,0,0,0,0,0,0,0
211,100,100,0,0,0,0,0,0,0
212,100,100,0,0,0,0,0,0,0
213,100,100,0,0,0,0,0,0,0
214,100,100,0,0,0,0,0,0,0
215,100,100,0,0,0,0,0,0,0
216,100,100,0,0,0,0,0,0,0
217,100,100,0,0,0,0,0,0,0
218,100,100,0,0,0,0,0,0,0
219,100,100,0,0,0,0,0,0,0
220,100,100,0,0,0,0,0,0,0
221,100,100,0,0,0,0,0,0,0
222,100,100,0,0,0,0,0,0,0
223,100,100,0,0,0,0,0,0,0
224,100,100,0,0,0,0,0,0,0
225,100,100,0,0,0,0,0,0,0
226,100,100,0,0,0,0,0,0,0
227,100,100,0,0,0,0,0,0,0
228,100,100,0,0,0,0,0,0,0
229,100,100,0,0,0,0,0,0,0
230,100,100,0,0,0,0,0,0,0
231,100,100,0,0,0,0,0,0,0
232,100,100,0,0,0,0,0,0,0
233,100,100,0,0,0,0,0,0,0
234,100,100,0,0,0,0,0,0,0
235,100,100,0,0,0,0,0,0,0
236,100,100,0,0,0,0,0,0,0
237,100,100,0,0,0,0,0,0,0
238,100,100,0,0,0,0,0,0,0
239,100,100,0,0,0,0,0,0,0
240,100,100,0,0,0,0,0,0,0
241,100,100,0,0,0,0,0,0,0
242,100,100,0,0,0,0,0,0,0
243,100,100,0,0,0,0,0,0,0
244,100,100,0,0,0,0,0,0,0
245,100,100,0,0,0,0,0,0,0
246,100,100,0,0,0,0,0,0,0
247,100,100,0,0,0,0,0,0,0
248,100,100,0,0,0,0,0,0,0
249,100,100,0,0,0,0,0,0,0
250,100,100,0,0,0,0,0,0,0
251,100,100,0,0,0,0,0,0,0
252,100,100,0,0,0,0,0,0,0
253,100,100,0,0,0,0,0,0,0
254,100,100,0,0,0,0,0,0,0
255,100,100,0,0,0,0,0,0,0
256,100,100,0,0,0,0,0,0,0
257,100,100,0,0,0,0,0,0,0
258,100,100,0,0,0,0,0,0,0
259,100,100,0,0,0,0,0,0,0
260,100,100,0,0,0,0,0,0,0
261,100,100,0,0,0,0,0,0,0
262,100,100,0,0,0,0,0,0,0
263,100,100,0,0,0,0,0,0,0
264,100,100,0,0,0,0,0,0,0
265,100,100,0,0,0,0,0,0,0
266,100,100,0,0,0,0,0,0,0
267,100,100,0,0,0,0,0,0,0
268,100,100,0,0,0,0,0,0,0
269,100,100,0,0,0,0,0,0,0
270,100,100,0,0,0,0,0,0,0
271,100,100,0,0,0,0,0,0,0
272,100,100,0,0,0,0,0,0,0
273,100,100,0,0,0,0,0,0,0
274,100,100,0,0,0,0,0,0,0
275,100,100,0,0,0,0,0,0,0
276,100,100,0,0,0,0,0,0,0
277,100,100,0,0,0,0,0,0,0
278,100,100,0,0,0,0,0,0,0
279,100,100,0,0,0,0,0,0,0
280,100,100,0,0,0,0,0,0,0
281,100,100,0,0,0,0,0,0,0
282,100,100,0,0,0,0,0,0,0
283,100,100,0,0,0,0,0,0,0
284,100,100,0,0,0,0,0,0,0
285,100,100,0,0,0,0,0,0,0
286,100,100,0,0,0,0,0,0,0
287,100,100,0,0,0,0,0,0,0
288,100,100,0,0,0,0,0,0,0
289,100,100,0,0,0,0,0,0,0
290,100,100,0,0,0,0,0,0,0
291,100,100,0,0,0,0,0,0,0
292,100,100,0,0,0,0,0,0,0
293,100,100,0,0,0,0,0,0,0
294,100,100,0,0,0,0,0,0,0
295,100,100,0,0,0,0,0,0,0
296,100,100,0,0,0,0,0,0,0
297,100,100,0,0,0,0,0,0,0
298,100,100,0,0,0,0,0,0,0
299,100,100,0,0,0,0,0,0,0
300,100,100,0,0,0,0,0,0,0
301,100,100,0,0,0,0,0,0,0
302,100,100,0,0,0,0,0,0,0
303,100,100,0,0,0,0,0,0,0
304,100,100,0,0,0,0,0,0,0
305,100,100,0,0,0,0,0,0,0
306,100,100,0,0,0,0,0,0,0
307,100,100,0,0,0,0,0,0,0
308,100,100,0,0,0,0,0,0,0
309,100,100,0,0,0,0,0,0,0
310,100,100,0,0,0,0,0,0,0
311,100,100,0,0,0,0,0,0,0
312,100,100,0,0,0,0,0,0,0
313,100,100,0,0,0,0,0,0,0
314,100,100,0,0,0,0,0,0,0
315,100,100,0,0,0,0,0,0,0
316,100,100,0,0,0,0,0,0,0
317,100,100,0,0,0,0,0,0,0
318,100,100,0,0,0,0,0,0,0
319,100,100,0,0,0,0,0,0,0
320,100,100,0,0,0,0,0,0,0
321,100,100,0,0,0,0,0,0,0
322,100,100,0,0,0,0,0,0,0
323,100,100,0,0,0,0,0,0,0
324,100,100,0,0,0,0,0,0,0
325,100,100,0,0,0,0,0,0,0
326,100,100,0,0,0,0,0,0,0
327,100,100,0,0,0,0,0,0,0
328,100,100,0,0,0,0,0,0,0
329,100,100,0,0,0,0,0,0,0
330,100,100,0,0,0,0,0,0,0
331,100,100,0,0,0,0,0,0,0
332,100,100,0,0,0,0,0,0,0
333,100,100,0,0,0,0,0,0,0
334,100,100,0,0,0,0,0,0,0
335,100,100,0,0,0,0,0,0,0
336,100,100,0,0,0,0,0,0,0
337,100,100,0,0,0,0,0,0,0
338,100,100,0,0,0,0,0,0,0
339,100,100,0,0,0,0,0,0,0
340,100,100,0,0,0,0,0,0,0
341,100,100,0,0,0,0,0,0,0
342,100,100,0,0,0,0,0,0,0
343,100,100,0,0,0,0,0,0,0
344,100,100,0,0,0,0,0,0,0
345,100,100,0,0,0,0,0,0,0
346,100,100,0,0,0,0,0,0,0
347,100,100,0,0,0,0,0,0,0
348,100,100,0,0,0,0,0,0,0
349,100,100,0,0,0,0,0,0,0
350,100,100,0,0,0,0,0,0,0
351,100,100,0,0,0,0,0,0,0
352,100,100,0,0,0,0,0,0,0
353,100,100,0,0,0,0,0,0,0
354,100,100,0,0,0,0,0,0,0
355,100,100,0,0,0,0,0,0,0
356,100,100,0,0,0,0,0,0,0
357,100,100,0,0,0,0,0,0,0
358,100,100,0,0,0,0,0,0,0
359,100,100,0,0,0,0,0,0,0
360,100,100,0,0,0,0,0,0,0
361,100,100,0,0,0,0,0,0,0
362,100,100,0,0,0,0,0,0,0
363,100,100,0,0,0,0,0,0,0
364,100,100,0,0,0,0,0,0,0
365,100,100,0,0,0,0,0,0,0
